Date,RW2,OG weight (g),amount (L),Oven (g),Furnace (g),TSS (g/L),VSS (g/L),,RW1 ,OG weight (g),amount (L),Oven (g),Furnace (g),TSS (g/L),VSS (g/L),,Days Since Start
44333,,0.0916,0.02,0.0948,0.0919,0.16,0.145,,,0.0918,0.02,0.0948,0.092,0.15,0.14,,321
44335,,0.0922,0.02,0.0952,0.0924,0.15,0.14,,,0.0938,0.02,0.0973,0.0942,0.175,0.155,,323
44337,,0.0915,0.02,0.0947,0.0916,0.16,0.155,,,0.0931,0.02,0.0969,0.0933,0.19,0.18,,325
44340,,0.0932,0.02,0.0969,0.0932,0.185,0.185,,,0.0926,0.02,0.0965,0.0927,0.195,0.19,,328
44342,,0.094,0.02,0.0982,0.0942,0.21,0.2,,,0.0926,0.02,0.0967,0.0931,0.205,0.18,,330
44344,,0.0958,0.02,0.0999,0.0962,0.205,0.185,,,0.0932,0.02,0.097,0.0933,0.19,0.185,,332
44347,,0.0951,0.02,0.0994,0.0946,0.215,0.24,,,0.0929,0.02,0.097,0.0929,0.205,0.205,,335
44349,,0.0931,0.02,0.0983,0.0933,0.26,0.25,,,0.0925,0.02,0.0966,0.0925,0.205,0.205,,337
44351,,0.0922,0.02,0.0971,0.0925,0.245,0.23,,,0.0929,0.02,0.0957,0.0929,0.14,0.14,,339
44354,,0.0914,0.02,0.0967,0.0918,0.265,0.245,,,0.0926,0.02,0.0955,0.0928,0.145,0.135,,342
44356,,0.0937,0.02,0.0972,0.0941,0.175,0.155,,,0.0937,0.02,0.0957,0.0939,0.1,0.09,,344
44358,,0.0931,0.02,0.0963,0.0932,0.16,0.155,,,0.0901,0.02,0.0925,0.0902,0.12,0.115,,346
44361,,0.0912,0.02,0.0936,0.0915,0.12,0.105,,,0.0931,0.02,0.0956,0.0932,0.125,0.12,,349
44363,,0.091,0.02,0.0929,0.091,0.095,0.095,,,0.0917,0.02,0.0941,0.0918,0.12,0.115,,351
44365,,0.0926,0.02,0.0945,0.0928,0.095,0.085,,,0.0932,0.02,0.0957,0.0934,0.125,0.115,,353
44368,,0.0908,0.02,0.0929,0.0911,0.105,0.09,,,0.093,0.02,0.096,0.0933,0.15,0.135,,356
44370,,0.0921,0.02,0.0942,0.0921,0.105,0.105,,,0.0909,0.02,0.0935,0.0909,0.13,0.13,,358
44372,,0.0892,0.02,0.0913,0.0893,0.105,0.1,,,0.0918,0.02,0.0946,0.0921,0.14,0.125,,360
44375,,0.0924,0.02,0.0947,0.0925,0.115,0.11,,,0.0912,0.02,0.0939,0.0913,0.135,0.13,,363
44377,,0.092,0.02,0.0946,0.0921,0.13,0.125,,,0.0912,0.02,0.0936,0.0914,0.12,0.11,,365
44379,,0.0885,0.02,0.0909,0.0887,0.12,0.11,,,0.0906,0.02,0.0929,0.0907,0.115,0.11,,367
44382,,0.0932,0.02,0.0954,0.0931,0.11,0.115,,,0.0918,0.02,0.0941,0.0919,0.115,0.11,,370
44384,,0.0945,0.02,0.0968,0.0942,0.115,0.13,,,0.0929,0.02,0.0956,0.0931,0.135,0.125,,372
44386,,0.0944,0.02,0.0968,0.0945,0.12,0.115,,,0.0926,0.02,0.0952,0.0928,0.13,0.12,,374
44389,,0.0886,0.02,0.0909,0.0888,0.115,0.105,,,0.0904,0.02,0.094,0.0908,0.18,0.16,,377
44391,,0.0882,0.02,0.0908,0.0886,0.13,0.11,,,0.0897,0.02,0.0927,0.0899,0.15,0.14,,379
44393,,0.0925,0.02,0.0948,0.0928,0.115,0.1,,,0.0915,0.02,0.0952,0.092,0.185,0.16,,381
44396,,0.0896,0.02,0.0928,0.0899,0.16,0.145,,,0.0892,0.02,0.0935,0.0897,0.215,0.19,,384
44398,,,0.02,,,,,,,,0.02,,,,,,386
